jornada,equipo,partidos_jugados,goles_marcados_pp,goles_encajados_pp,victorias_pp,empates_pp,Amarillo_pp,Amarillo-Rojo_pp,Córners_pp,Duelos_pp,Faltas cometidas_pp,Fuera de juego_pp,Pases exitosos_pp,Pases ges._pp,Posesión de balón en %_pp,Rojo_pp,Tiros a puerta_pp,goles_marcados_racha,goles_encajados_racha,victoria_racha,empate_racha,derrota_racha,Amarillo_racha,Amarillo-Rojo_racha,Córners_racha,Duelos_racha,Faltas cometidas_racha,Fuera de juego_racha,Pases exitosos_racha,Pases ges._racha,Posesión de balón en %_racha,Rojo_racha,Tiros a puerta_racha
1,Athletic Club,1,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Athletic Club,2,1.0,1.5,0.0,0.5,4.0,0.0,5.0,42.57,15.0,2.0,80.72,415.0,61.65,0.0,7.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,5.0,42.57,15.0,2.0,80.72,415.0,61.65,0.0,7.0
3,Athletic Club,3,1.0,1.0,0.3333333333333333,0.3333333333333333,4.5,0.0,5.5,42.285,15.5,3.5,80.62,341.0,49.935,0.0,8.0,1.0,1.5,0.0,0.5,0.5,4.5,0.0,5.5,42.285,15.5,3.5,80.62,341.0,49.935,0.0,8.0
4,Athletic Club,4,0.75,1.0,0.25,0.25,3.3333333333333335,0.0,5.333333333333333,43.89666666666667,15.0,2.6666666666666665,80.13,360.0,50.080000000000005,0.0,9.666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.0,5.333333333333333,43.89666666666667,15.0,2.6666666666666665,80.13,360.0,50.080000000000005,0.0,9.666666666666666
5,Athletic Club,5,1.2,1.2,0.4,0.2,3.25,0.0,4.5,42.225,14.5,2.25,81.72749999999999,411.0,50.55,0.0,9.25,0.75,1.0,0.25,0.25,0.5,3.25,0.0,4.5,42.225,14.5,2.25,81.72749999999999,411.0,50.55,0.0,9.25
6,Athletic Club,6,1.5,1.1666666666666667,0.5,0.16666666666666666,3.0,0.0,4.2,44.596,14.0,2.0,79.402,391.0,48.532,0.2,9.2,1.2,1.2,0.4,0.2,0.4,3.0,0.0,4.2,44.596,14.0,2.0,79.402,391.0,48.532,0.2,9.2
7,Athletic Club,7,1.5714285714285714,1.0,0.5714285714285714,0.14285714285714285,3.0,0.0,4.0,43.79,14.333333333333334,1.8333333333333333,79.93833333333333,372.8333333333333,46.76333333333333,0.16666666666666666,9.333333333333334,1.6,1.2,0.6,0.0,0.4,2.8,0.0,3.8,44.034000000000006,14.2,1.8,79.782,364.4,43.786,0.2,9.8
8,Athletic Club,8,1.5,1.0,0.5,0.25,3.0,0.0,4.0,43.79,14.333333333333334,1.8333333333333333,79.93833333333333,372.8333333333333,46.76333333333333,0.16666666666666666,9.333333333333334,1.8,0.8,0.8,0.0,0.2,2.25,0.0,3.25,44.542500000000004,13.75,1.0,79.5975,388.75,45.1775,0.25,10.0
9,Athletic Club,9,1.4444444444444444,1.1111111111111112,0.4444444444444444,0.2222222222222222,2.5714285714285716,0.0,4.0,43.784285714285716,13.142857142857142,2.0,79.39571428571428,363.2857142857143,46.05714285714286,0.2857142857142857,9.857142857142858,1.8,1.0,0.6,0.2,0.2,2.0,0.0,3.0,43.7,11.75,1.5,78.845,365.75,43.040000000000006,0.5,10.0
10,Athletic Club,10,1.7,1.1,0.5,0.2,2.375,0.125,3.625,43.94875,13.125,1.75,79.58625,353.25,45.082499999999996,0.25,10.25,2.0,1.2,0.6,0.2,0.2,1.5,0.25,2.75,45.6725,11.75,1.25,77.445,295.5,39.615,0.5,11.25
