nombre,equipo,minutos_totales,goles_totales,partidos_jugados
Álex Padilla,Athletic Club,319,2,5
Andoni Gorosabel,Athletic Club,1491,0,20
Aitor Paredes,Athletic Club,1815,6,23
Yeray,Athletic Club,1781,2,21
Yuri,Athletic Club,2037,0,29
Vesga,Athletic Club,978,0,24
Oihan Sancet,Athletic Club,1624,30,29
Beñat Prados,Athletic Club,1724,2,30
Álex Berenguer,Athletic Club,2354,12,36
Iñaki Williams,Athletic Club,2654,12,35
Guruzeta,Athletic Club,1844,14,36
Ander Herrera,Athletic Club,268,0,8
Unai Gómez,Athletic Club,1279,2,32
Nico Williams,Athletic Club,1999,10,29
Daniel Vivian,Athletic Club,2604,8,32
Iñigo Lekue,Athletic Club,768,0,15
Oier Gastesi,Athletic Club,0,0,0
Unai Egiluz,Athletic Club,0,0,0
Adama Boiro,Athletic Club,1107,0,18
Mikel Jauregizar,Athletic Club,2276,4,34
Adu Ares,Athletic Club,18,0,1
Javi Martón,Athletic Club,49,0,3
David Soria,Getafe CF,3420,0,38
Dakonam Djené,Getafe CF,2566,0,31
Omar Alderete,Getafe CF,2978,2,34
Diego Rico,Getafe CF,2877,0,33
Iglesias,Getafe CF,2890,0,37
Nabil Aberdín,Getafe CF,263,0,6
Luis Milla,Getafe CF,2878,2,33
Álex Sola,Getafe CF,1036,0,18
Mauro Arambarri,Getafe CF,2665,20,35
Christantus Uche,Getafe CF,2576,8,33
Carles Pérez,Getafe CF,1429,6,27
Carles Aleñá,Getafe CF,452,0,10
Peter Federico,Getafe CF,464,0,17
Yellu,Getafe CF,386,0,16
Jiří Letáček,Getafe CF,0,0,0
Diego Ferrer,Getafe CF,0,0,0
Domingos Duarte,Getafe CF,1861,2,22
Alberto Risco,Getafe CF,64,0,5
Rui Silva,Real Betis,1350,0,15
Llorente,Real Betis,2521,6,30
Marc Bartra,Real Betis,2101,4,25
Romain Perraud,Real Betis,2035,4,28
Youssouf Sabaly,Real Betis,1589,0,21
Nabil Fekir,Real Betis,180,0,2
William Carvalho,Real Betis,483,0,14
Pablo Fornals,Real Betis,1838,4,26
Marc Roca,Real Betis,910,4,14
Juanmi,Real Betis,237,0,11
Aitor Ruibal,Real Betis,1305,2,29
Rodri,Real Betis,117,0,3
Abde Ezzalzouli,Real Betis,1999,4,32
Chimy Ávila,Real Betis,724,4,19
Johnny Cardoso,Real Betis,2142,6,28
Sergi Altimira,Real Betis,1974,0,32
Adrián,Real Betis,1710,0,19
Fran Vieites,Real Betis,360,0,4
Ricardo Rodríguez,Real Betis,1277,0,17
Héctor Bellerín,Real Betis,578,0,9
Iker Losada,Real Betis,334,0,9
Assane Diao,Real Betis,270,2,10
Paulo Gazzaniga,Girona FC,3196,0,36
Miguel Gutiérrez,Girona FC,2465,2,29
Arnau Martínez,Girona FC,2718,4,33
David López,Girona FC,2431,2,29
Daley Blind,Girona FC,2779,0,34
Oriol Romeu,Girona FC,1361,0,25
Bryan Gil,Girona FC,1734,6,25
Yangel Herrera,Girona FC,2282,8,29
Iván Martín,Girona FC,2046,2,32
Abel Ruiz,Girona FC,1357,8,22
Portu,Girona FC,763,2,26
Jhon Solís,Girona FC,521,2,17
Iker Almena,Girona FC,46,0,2
